galaxy,R_kpc,Vobs_kms,e_Vobs_kms,Vbar2_kms2,delta_g_obs,sigma_delta_g,nfw_full_delta_g,nfw_outer_delta_g,iso_full_delta_g,log_full_delta_g,gap_nfw_full,gap_nfw_outer,gap_density_proxy_nfw_outer,is_inner,is_outer
DDO161,3.9,42.7,3.25,969.13445,219.01424358974364,74.90733638347051,298.83670508999336,335.3000569835651,266.4832715918539,298.6623041481776,-79.82246150024972,-116.28581339382148,199367.5333294059,True,False
DDO161,4.37,45.5,2.99,993.9577000000002,246.2911441647597,66.61665077634095,298.29331846352574,332.0058206821332,282.5674625395279,298.1311010538266,-52.00217429876605,-85.71467651737353,344009.05059144995,False,True
DDO161,4.86,48.9,1.96,1014.1714,283.3412757201646,46.48521240846832,297.72858121578685,328.6290137355229,295.7749298767448,297.5793017764215,-14.387305495622229,-45.287738015358286,397495.57085474103,False,True
DDO161,5.34,51.5,1.53,1030.81415,303.63967228464423,38.56981649481097,297.17711555571395,325.3767938299727,305.5403757408405,297.04074062869563,6.462556728930281,-21.737121545328478,535095.5491074633,False,True
DDO161,5.81,53.0,1.86,1039.62405,304.53975043029266,41.664508004353706,296.6388060326818,322.24446283630044,312.42205525431893,296.5152850519327,7.900944397610829,-17.704712406007786,566231.7808457343,False,True
DDO161,6.28,55.0,1.48,1057.4102,313.3104777070063,35.384875266742235,296.102139020716,319.1625303401729,317.00494593089365,295.991685220659,17.208338686290347,-5.852052633166579,408872.3956719801,False,True
DDO161,6.75,57.6,0.99,1076.59095,332.0250444444445,29.823725320623517,295.56710740332164,316.1298526333907,319.6239746526301,295.46993132133053,36.457937041122875,15.895191811053792,275088.02037359925,False,True
DDO161,7.22,59.7,1.19,1105.8822,340.4719944598338,31.5671830203885,295.0337041041024,313.1453195415382,320.58843334186565,294.95001360947657,45.4382903557314,27.326674918295623,207578.3786727627,False,True
DDO161,7.69,60.5,1.26,1147.0374,326.8156827048114,30.974852230693863,294.50192208646484,310.2078532194286,320.1768073520556,294.4319224090924,32.31376061834658,16.60782948538281,13474.594615472359,False,True
DDO161,8.16,61.8,1.33,1190.9254,322.09737745098033,30.87892429321422,293.9717543533313,307.31640699767706,318.63494892088744,293.9156481120392,28.125623097649054,14.780970453303269,-112927.43146901796,False,True
DDO161,8.64,62.9,1.35,1217.97005,316.949068287037,30.175983796296293,293.43196539313635,304.4098833338204,316.1156538491131,293.39025463933865,23.517102893900642,12.53918495321659,-55980.02722760765,False,True
DDO161,9.11,63.0,2.09,1247.7146999999998,298.714083424808,36.195704351268205,292.90503937095673,301.6083825161797,312.91020300246373,292.87762374352457,5.809044053851267,-2.8942990913716926,83464.73965044602,False,True
DDO161,9.58,64.5,2.38,1249.3612,303.8506054279749,38.71096263580077,292.3797067306161,298.84991790748313,309.1302803984957,292.36678112845414,11.470898697358848,5.000687520491795,98672.12617872823,False,True
DDO161,10.05,65.6,1.08,1241.9046,304.62242786069646,25.63517496314787,291.8559606312904,296.1335575105989,304.9064631787779,291.85771745296233,12.76646722940609,8.488870350097557,60098.8058855751,False,True
DDO161,10.52,67.5,3.22,1196.39655,319.3777043726236,46.651860454146586,291.3337942703219,293.45839540214513,300.34782014874366,291.35042344083007,28.04391010230171,25.919308970478482,24789.015902947292,False,True
DDO161,10.99,66.8,2.37,1143.0598000000002,302.01821656050953,35.245063065575316,290.8132008830045,290.8235508387927,295.5448432586055,290.84488988021997,11.205015677505003,11.19466572171683,-48728.93548781113,False,True
DDO161,11.46,66.8,0.95,1081.8604500000001,294.97203752181497,22.398420539858613,290.2941737422636,288.2281673998,290.5721459040297,290.3411076231196,4.677863779551387,6.743870122014982,-168832.86785813732,False,True
DDO161,11.94,66.6,0.96,1022.7804500000001,285.8274329983249,21.440655370925104,289.76571310510946,285.61742682749053,285.3819720488184,289.8284047442793,-3.938280106784532,0.2100061708343901,-243474.69761112024,False,True
DDO161,12.41,66.8,0.99,965.7892,281.7446253021756,20.900070225325234,289.24983139418885,283.0992855810341,280.24117457794995,289.328134681667,-7.505206092013225,-1.3546602788584892,-175326.1695603501,False,True
DDO161,12.9,66.3,0.74,919.1659000000001,269.49799224806196,18.658440623576112,288.71364340914135,280.513386983693,274.8633261677202,288.80841205014366,-19.215651161079393,-11.015394735631048,-66167.41134816511,False,True
DDO161,13.37,66.1,1.31,865.74015,262.03962976813756,20.850985831747806,288.20091278505924,278.07003124502785,269.72068670521486,288.31165397327976,-26.161283016921686,-16.03040147689029,40581.60262706309,False,True
DDO168,0.41,15.0,4.1,142.6473,200.86024390243904,301.2522200075684,549.1096426483147,1911.9655059302816,153.89605177660695,549.0775996440665,-348.2493987458756,-1711.1052620278424,291769.1124182299,True,False
DDO168,0.82,23.4,1.3,407.02419999999995,171.3851219512195,81.36130306190402,549.0796271711824,1561.7434329588475,295.8502810349595,549.0550893083285,-377.69450521996293,-1390.358311007628,-3862334.405723045,True,False
DDO168,1.24,29.2,1.5,517.76415,270.06116935483874,78.56696236613865,549.0488824757558,1301.5745976991077,419.4621890557647,549.032031853702,-278.9877131209171,-1031.513428344269,-560158.5634246421,True,False
DDO168,1.64,36.2,1.1,535.88005,472.2926524390246,62.88374779041839,549.0196045147168,1114.4730678982062,512.2091103141179,549.0100741734874,-76.72695207569217,-642.1804154591816,1773965.395930467,True,False
DDO168,2.06,44.0,1.1,626.6360500000001,635.613567961165,66.45430720277457,548.9888654891216,961.6248073553619,583.0424757435278,548.987020499429,86.6247024720434,-326.0112393941969,3091655.4568211003,True,False
