r,target_delta_g,nfw_full_delta_g,nfw_outer_delta_g,cored_isothermal_full_delta_g,gap_full_delta_g,gap_outer_delta_g,target_speed,nfw_outer_speed,target_slope,nfw_outer_slope,target_density_proxy,nfw_outer_density_proxy,gap_outer_density_proxy
29.304566210045667,1228.2331485395737,1373.2738910662424,1235.4405751036973,1229.3349865235407,-145.04074252666874,-7.20742656412358,189.7177894208943,190.27361911653227,-0.9806230876266682,-1.003287898778808,7.905278921918606e-05,7.77476727153658e-05,1.30511650382207e-06
29.48584474885845,1220.8253816646113,1368.6459075907308,1227.8116407168156,1222.2783048890508,-147.82052592611944,-6.986259052204332,189.7289320826652,190.27102622053943,-0.9812741104731231,-1.0055496388129086,7.804301007374307e-05,7.661829338271412e-05,1.4247166910281407e-06
29.667123287671238,1213.5025247423778,1364.0437735978958,1220.2592889891278,1215.2991551141388,-150.541248855518,-6.756764246749981,189.7396347931355,190.2671352844902,-0.9819039024529275,-1.0077948047047585,7.705317223870553e-05,7.551086780656629e-05,1.5423044321392215e-06
29.84840182648402,1206.2632506302443,1359.4672858721317,1212.7824499730934,1208.3963227634374,-153.20403524188737,-6.519199342849106,189.7499149231228,190.26197175185757,-0.9825131272185672,-1.0100235902077657,7.608274016740865e-05,7.442486054353192e-05,1.6578796238762127e-06
30.02968036529681,1199.1062556477843,1354.9162432633143,1205.380072902003,1201.5686171853897,-155.80998761552996,-6.273817254218557,189.7597891575843,190.25556051780802,-0.9831024289732113,-1.0122361859882858,7.513119618086918e-05,7.33597518806388e-05,1.7714443002322298e-06
30.210958904109592,1192.0302592061457,1350.390446661033,1198.0511257702167,1194.814870981211,-158.36018745488718,-6.020866564070957,189.76927352269644,190.2479259431394,-0.9836724329840081,-1.0144327796884909,7.419803977505739e-05,7.231503729413547e-05,1.883002480921043e-06
30.39223744292238,1185.0340034378914,1345.8896989691816,1190.7945949242398,1188.1339394859765,-160.85569553129017,-5.760591486348403,189.7783834118662,190.23909186780216,-0.9842237460801471,-1.0166135559866234,7.328278695800909e-05,7.129022692970886e-05,1.992560028299322e-06
30.573515981735163,1178.1162528277569,1341.4138050809627,1183.6094846643207,1181.5247002616115,-163.29755225320582,-5.493231836563837,189.78713361071493,190.22908162401964,-0.9847569571431904,-1.0187786966559997,7.23849696153979e-05,7.02848451030382e-05,2.1001245123604638e-06
30.75479452054795,1171.275793844752,1336.9625718542234,1176.4948168562614,1174.9860526015818,-165.68677800947148,-5.219023011509535,189.79553832107598,190.21791804902085,-0.9852726375852399,-1.020928380622422,7.15041349032491e-05,6.929842981989768e-05,2.2057050833515647e-06
30.936073059360734,1164.5114345759937,1332.5358080871806,1169.4496305531338,1168.5169170470526,-168.02437351118692,-4.93819597714014,189.80361118404443,190.20562349739865,-0.9857713418188041,-1.0230627840214765,7.063984466651177e-05,6.833053231488705e-05,2.309312351625997e-06
31.11735159817352,1157.8220043626256,1328.1333244944822,1162.4729816266058,1162.1162349143046,-170.31132013185652,-4.650977263980167,189.8113653021173,190.192219853106,-0.9862536077131381,-1.0251820802513976,6.979167488233544e-05,6.738071660796483e-05,2.4109582743693156e-06
31.298630136986308,1151.206353438137,1323.7549336836362,1155.5639424076194,1155.7829678331834,-172.54858024549912,-4.357588969482322,189.81881326045897,190.17772854110396,-0.986719957044329,-1.0272864400294566,6.895921512687487e-05,6.644855907805959e-05,2.510656048812955e-06
31.47990867579909,1144.6633525693876,1319.4004501317654,1148.72160133611,1149.5160972963572,-174.7370975623778,-4.0582487667225,189.8259671473277,190.16217053867058,-0.987170895932536,-1.0293760314420979,6.814206806457268e-05,6.553364805295944e-05,2.6084200116139724e-06
31.66118721461188,1138.19189270058,1315.0696901627152,1141.945062619539,1143.3146242191651,-176.87779746213528,-3.7531699189589744,189.83283857369486,190.1455663863844,-0.9876069152708169,-1.0314510199972347,6.733984895890032e-05,6.463558341482203e-05,2.7042655440800557e-06
31.842465753424662,1131.790884600443,1310.7624719244857,1135.2334458999687,1137.1775685098319,-178.97158732404273,-3.442561299525778,189.83943869209003,190.12793619879227,-0.9880284911426997,-1.033511568673589,6.655218520351834e-05,6.375397622059652e-05,2.798208982920594e-06
32.023744292237446,1125.459258512822,1306.4786153669934,1128.58588592943,1131.1039686498302,-181.0193568541713,-3.1266274166080166,189.84577821470188,190.10929967477216,-0.9884360852319105,-1.0355578379693497,6.577871587301304e-05,6.288844833678119e-05,2.890267536232232e-06
32.20502283105023,1119.1959638108754,1302.2179422201582,1122.001532253356,1125.0928812841687,-183.02197840928284,-2.805568442480535,189.85186743076432,190.08967610760104,-0.9888301452215273,-1.0375899859509445,6.501909129227013e-05,6.203863208781308e-05,2.9804592044583015e-06
32.38630136986301,1112.9999686550502,1297.9802759722934,1115.4795489018366,1119.143380821391,-184.98030731724316,-2.479580246786327,189.85771622325638,190.0690843947372,-0.9892111051833581,-1.0396081682980594,6.427297262364593e-05,6.120416991760458e-05,3.0688027060396916e-06
32.5675799086758,1106.8702596549845,1293.7654418488244,1109.0191140884901,1113.2545590430716,-186.8951821938399,-2.148854433505676,189.86333408494238,190.04754304732737,-0.9895793859598143,-1.0416125383509325,6.354003147115196e-05,6.0384714063632486e-05,3.1553174075186605e-06
32.74885844748859,1100.8058415354756,1289.5732667913041,1102.619419916716,1107.42552472259,-188.76742525582858,-1.8135783812404043,189.8687301337791,190.02507019944633,-0.9899353955345305,-1.0436032471527596,6.281994950090421e-05,5.957992624305328e-05,3.2400232578516767e-06
32.93013698630137,1094.8057368066281,1285.4035794367187,1096.279672093131,1101.6554032529773,-190.59784263009055,-1.473935286502865,189.8739131277145,190.00168361707838,-0.990279529394229,-1.0455804434933498,6.211241807704028e-05,5.8789477350331696e-05,3.3229407267092314e-06
33.111415525114154,1088.868985438289,1281.2562100971124,1089.999089647987,1095.9433362836262,-192.38722465882347,-1.1301042096979472,189.87889147890206,189.97740070684893,-0.9906121708852424,-1.047544273953804,6.141713791252034e-05,5.801304716596123e-05,3.404090746560143e-06
33.292694063926945,1082.9946445388498,1277.1309907394789,1083.776904662367,1090.2884813656603,-194.13634620062908,-0.7822601235172897,189.88367326735397,189.95223852451414,-0.9909336915563927,-1.0494948829451687,6.0733818734057563e-05,5.725032407574304e-05,3.4834946583156054e-06
