galaxy,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
NGC5055,3.2,179.0,28,1.0,1437.995122340203,True,False,True,-1.0429714411872395,1.161420222237857,0.9538677993318904
NGC5371,7.44,209.5,19,0.9166666666666666,3500.3729911964597,True,True,False,0.6190607100432223,0.4493957881627798,0.1077238547075524
NGC5585,1.53,90.3,24,0.9583333333333334,758.3591246646866,True,True,True,-1.19451379974699,0.3841755284815132,0.4550679947930022
NGC5907,5.34,215.0,19,0.6111111111111112,2047.1557334231736,True,True,False,0.3602597656065913,0.2329537923631029,0.0797072085778722
NGC5985,7.01,293.6,33,0.6527777777777778,5424.409426104256,True,False,False,0.2687523525830301,0.0882898694843193,0.0834879091853247
NGC6015,2.3,154.1,44,1.0,2344.5925182849332,True,True,False,0.3633074246610042,0.2948893271934401,0.2073396218752692
NGC6195,13.94,251.7,23,0.6805555555555556,1874.0259957567735,True,True,False,-0.2319225324442666,0.9796253357426702,0.9329847241010516
NGC6503,2.16,116.3,31,0.8888888888888888,1288.541743634041,True,False,False,0.0377657796130772,0.3590155008203843,0.547540718311081
NGC6674,6.04,241.3,15,0.8472222222222222,2807.1976917771917,True,True,False,0.4119112215042603,0.2853365174957876,1.0397291174900567
NGC6946,2.44,158.9,58,1.0,10454.278383277915,True,False,True,-0.2953896312178174,1.0159722913986715,0.996087075566479
NGC7331,5.02,239.0,36,0.7361111111111112,1797.9693675634314,True,True,True,-0.9951914994714646,1.1059739653404042,0.928471884666742
NGC7793,1.21,0.0,46,0.9305555555555556,1884.4531239622113,True,False,True,-1.379161813963446,0.5937327054813123,0.556613144971495
NGC7814,2.54,218.9,18,0.9861111111111112,5752.807919214848,True,False,True,-0.7099129173496033,1.1194938093104612,0.9515419151684836
UGC00128,5.95,129.3,22,1.0,685.5126603861332,True,False,False,-0.0770116143619487,0.3578368940304079,0.0767338105939259
UGC00191,1.58,0.0,9,0.7916666666666666,1216.4951059298614,True,False,False,-0.2008006373208848,0.2819669224747991,0.1497576759167188
UGC00731,2.3,73.3,12,0.7083333333333334,699.2136851431939,False,False,True,-0.2707024763941584,0.086503935991565,0.0891636545592185
UGC01281,1.63,55.2,25,0.7222222222222222,542.8353977272727,True,True,True,-1.3646563694005929,0.3439962797655919,0.176889456741981
UGC02259,1.62,86.2,8,0.5972222222222222,1625.7915762167552,False,True,False,0.1509184641819115,0.0289948904585473,0.0630767368193806
UGC02487,7.89,332.0,17,0.5277777777777778,4094.2754942660367,False,False,False,-0.1177116340635041,0.0816270692269939,0.057979593114439
UGC02885,11.4,289.5,19,0.9305555555555556,5603.513657486513,False,True,False,0.4062522038364998,0.8096586642352661,0.9233802818577944
UGC02916,6.15,182.7,43,0.9166666666666666,9957.453089650635,True,False,False,-0.0061538699911431,0.9818975155173176,0.9965125642560948
UGC02953,3.55,264.9,115,1.0,55396.24176592737,True,False,False,0.129609857979122,0.9854740037823186,0.9978250320483784
UGC03205,3.19,219.6,48,1.0,4529.202596916463,True,True,False,0.2784079537858173,0.5845356840638143,0.6398016796132653
UGC03546,3.79,196.9,30,0.9861111111111112,16903.32450148249,True,True,True,-0.681783779770636,1.0299671792871516,1.0042263652584495
UGC03580,2.43,126.2,47,1.0,3200.986232569795,True,True,True,-0.5550954665574948,1.0365369029726412,1.002347969102068
UGC04278,2.21,91.4,25,0.7222222222222222,824.3728401631148,True,True,True,-0.980425113090676,0.2877742846264675,0.2025438248364182
