target,bootstrap,mode,best_abs_correlation
signed_nfw_residual_of_residual,30,3,0.9823652909611514
signed_nfw_residual_of_residual,30,4,0.7240033885287681
signed_nfw_residual_of_residual,30,5,0.6262440464919921
signed_nfw_residual_of_residual,30,6,0.9325000726582482
signed_nfw_residual_of_residual,31,1,0.9971452489519192
signed_nfw_residual_of_residual,31,2,0.9918659619629602
signed_nfw_residual_of_residual,31,3,0.9722562252935919
signed_nfw_residual_of_residual,31,4,0.9902210600526247
signed_nfw_residual_of_residual,31,5,0.7793608206509329
signed_nfw_residual_of_residual,31,6,0.9884494752971587
signed_nfw_residual_of_residual,32,1,0.9903697090982818
signed_nfw_residual_of_residual,32,2,0.9922383222403857
signed_nfw_residual_of_residual,32,3,0.9403249210421749
signed_nfw_residual_of_residual,32,4,0.7623900995307605
signed_nfw_residual_of_residual,32,5,0.7281884419988435
signed_nfw_residual_of_residual,32,6,0.6704941757662848
signed_nfw_residual_of_residual,33,1,0.9958504905014057
signed_nfw_residual_of_residual,33,2,0.9768197629477934
signed_nfw_residual_of_residual,33,3,0.7908578212815907
signed_nfw_residual_of_residual,33,4,0.6549649826988696
signed_nfw_residual_of_residual,33,5,0.6154396665298049
signed_nfw_residual_of_residual,33,6,0.9241866400847241
signed_nfw_residual_of_residual,34,1,0.9987110892490982
signed_nfw_residual_of_residual,34,2,0.7852323495816831
signed_nfw_residual_of_residual,34,3,0.9595944234921239
signed_nfw_residual_of_residual,34,4,0.9204095202315524
signed_nfw_residual_of_residual,34,5,0.619758908634004
signed_nfw_residual_of_residual,34,6,0.8902806796686478
signed_nfw_residual_of_residual,35,1,0.9995745565705166
signed_nfw_residual_of_residual,35,2,0.8822483845356625
signed_nfw_residual_of_residual,35,3,0.9975289864125354
signed_nfw_residual_of_residual,35,4,0.8433876311959253
signed_nfw_residual_of_residual,35,5,0.8120817949708293
signed_nfw_residual_of_residual,35,6,0.9370319140365223
signed_nfw_residual_of_residual,36,1,0.9969921048332868
signed_nfw_residual_of_residual,36,2,0.8414005528189349
signed_nfw_residual_of_residual,36,3,0.9782543775042896
signed_nfw_residual_of_residual,36,4,0.9884693180297781
signed_nfw_residual_of_residual,36,5,0.689561504119438
signed_nfw_residual_of_residual,36,6,0.9000281939764261
signed_nfw_residual_of_residual,37,1,0.9973698400368302
signed_nfw_residual_of_residual,37,2,0.9841043122856316
signed_nfw_residual_of_residual,37,3,0.8284469743606347
signed_nfw_residual_of_residual,37,4,0.5884942293529182
signed_nfw_residual_of_residual,37,5,0.8481754757048229
signed_nfw_residual_of_residual,37,6,0.8179067446215933
signed_nfw_residual_of_residual,38,1,0.9935440948713457
signed_nfw_residual_of_residual,38,2,0.9919418642979051
signed_nfw_residual_of_residual,38,3,0.9961106356881825
signed_nfw_residual_of_residual,38,4,0.9007949594894428
signed_nfw_residual_of_residual,38,5,0.5736347178754341
signed_nfw_residual_of_residual,38,6,0.886597344099653
